well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
# 32 	T = 685	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.08  0.014 0.261]
Walltime = 35.63839864730835 Simulated time = 685.0
# 33 	T = 695	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.063 0.015 0.255]
Walltime = 36.81793522834778 Simulated time = 695.0
# 34 	T = 705	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.086 0.015 0.248]
Walltime = 37.99193978309631 Simulated time = 705.0
# 35 	T = 715	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.1   0.016 0.243]
Walltime = 39.22020936012268 Simulated time = 715.0
# 36 	T = 725	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.072 0.016 0.237]
Walltime = 40.39569139480591 Simulated time = 725.0
# 37 	T = 730	DT =  5	NI = 2	LI=12	DT_MULT=1.3	dX=[0.078 0.008 0.117]
TS = 123(0), NI = 268(0), LI = 1372(0)
